TypeName, NumDisjunctions, Full1, Full2, Partial1, Partial2, Sel1, Sel2
Disjunction, 5, 3517.4, 1655.24, 6475.42, 4609.16, 3857.91, 3580.4
Disjunction, 4, 2958.32, 1403.56, 6052, 4492.87, 1337.71, 1022.89
Disjunction, 3, 2346.89, 1098.83, 5366.24, 4116.03, 387.231, 143.383
Disjunction, 2, 1749.04, 808.862, 4686.68, 3743.56, 1152.58, 918.148
Disjunction, 1, 1143.02, 507.171, 3631.8, 2994.06, 205.222, 66.7379
Disjunction, 0, 570.816, 240.415, 2273.85, 1939.87, 1326.61, 1229.08
TypeName, NumDisjunctions, Full1, Full2, Partial1, Partial2, Sel1, Sel2
Disjunction, 5, 3132.68, 0, 5852.99, 0, 3389.23, 0
Disjunction, 4, 2619.38, 0, 5531.07, 0, 1069.14, 0
Disjunction, 3, 2079.55, 0, 4966.23, 0, 178.724, 0
Disjunction, 2, 1551.55, 0, 4524.06, 0, 967.448, 0
Disjunction, 1, 1023.38, 0, 3594.9, 0, 90.7876, 0
Disjunction, 0, 512.28, 0, 2216.8, 0, 1294.75, 0
