Test, Select, Compress
Precompiled, 0, 29.8159
Precompiled, 0.05, 61.278
Precompiled, 0.1, 109.082
Precompiled, 0.15, 129.954
Precompiled, 0.2, 162.673
Precompiled, 0.25, 191.636
Precompiled, 0.3, 220.371
Precompiled, 0.35, 256.442
Precompiled, 0.4, 299.763
Precompiled, 0.45, 314.884
Precompiled, 0.5, 351.303
Precompiled, 0.55, 362.126
Precompiled, 0.6, 404.764
Precompiled, 0.65, 453.285
Precompiled, 0.7, 464.859
Precompiled, 0.75, 498.327
Precompiled, 0.8, 522.885
Precompiled, 0.85, 560.522
Precompiled, 0.9, 588.703
Precompiled, 0.95, 615.683
Precompiled, 1, 657.314
